Question,Answer,Quotes
إيه نتيجة التعود على المآسي حسب وصف المتحدث؟,تبلد الإحساس,"[{'text': 'اول لما كنت بتسمع الاخبار وهي طالعه من من هناك و زي كلنا كنا مهزوزين ويعني خايفين جدا على اهلنا هناك . كنا نسمع رقم ان في 300 شهيد ولسه الارقام في اول كم يوم احنا ما كناش بنعرف ننام .', 'start_char': 196, 'end_char': 367}, {'text': ""دلوقتي حالا لما انت بتسمع رقم ان عدد الشهداء في غزه اللي احنا عارفينه لحد دلوقتي وصل ل 000'40 , الموضوع ما بيهزكش من جوه زي ما كان بيهزك ويخليك ما بتعرفش تنام اول لما بدا خالص ."", 'start_char': 1251, 'end_char': 1446}]"
,,
حسب النص، إيه اللي حصل في لبنان في يوم واحد؟,في يوم واحد في 500 شخص توفوا في لبنان,"[{'text': 'في يوم واحد في 500 شخص توفوا في لبنان', 'start_char': 504, 'end_char': 542}]"
إيه الدليل اللي قاله المتحدث على نجاح الحرب النفسية؟,تضاؤل التأثر بأعداد الضحايا.,"[{'text': 'كنا نسمع رقم ان في 300 شهيد ولسه الارقام في اول كم يوم احنا ما كناش بنعرف ننام .', 'start_char': 311, 'end_char': 395}, {'text': ""دلوقتي حالا لما انت بتسمع رقم ان عدد الشهداء في غزه اللي احنا عارفينه لحد دلوقتي وصل ل 000'40 , الموضوع ما بيهزكش من جوه زي ما كان بيهزك ويخليك ما بتعرفش تنام اول لما بدا خالص ."", 'start_char': 1222, 'end_char': 1404}]"
,,
إيه اللي المتحدث عاوز يحفظه من خلال الفيديو ده؟,اللحظه الغريبه في في التاريخ اللي احنا عايشين فيه دلوقتي,"[{'text': 'اللحظه الغريبه في في التاريخ اللي احنا عايشين فيه دلوقتي', 'start_char': 2380, 'end_char': 2435}]"
إيه نتيجة استغلال الأعداء لتعود الناس على المآسي؟,قتل الروح المعنوية.,"[{'text': 'وازاي ان الاعداء بتوعنا بيستخدموا الموضوع ده علشان يقتلونا', 'start_char': 861, 'end_char': 916}, {'text': 'وده جزء من الحرب السيكولوجيه والاعلاميه اللي بتحصل', 'start_char': 917, 'end_char': 967}, {'text': 'قتلوا الروح بتاعتنا', 'start_char': 1307, 'end_char': 1324}]"
إيه الحالة النفسية اللي بيشعر بيها الشخص تجاه نفسه لما يلاحظ تغيره؟,الصدمة.,"[{'text': 'اول حاجه الشخص فعلا يكون مصدوم فيها من من نفسه', 'start_char': 1498, 'end_char': 1544}]"
حسب النص، إيه اللي المتحدث بيحاول يفسره للمشاهدين؟,ايه سبب الشعور ده,"[{'text': 'ايه سبب الشعور ده', 'start_char': 1500, 'end_char': 1517}]"
ما هدف الحرب النفسية التي ذكرها المتحدث؟,القتل النفسي,"[{'text': 'ازاي احنا فعلا مع الوقت ممكن نتعود على حاجات في منتهى البشاعه', 'start_char': 864, 'end_char': 927}, {'text': 'وازاي ان الاعداء بتوعنا بيستخدموا الموضوع ده علشان يقتلونا وده جزء من الحرب السيكولوجيه والاعلاميه اللي بتحصل', 'start_char': 928, 'end_char': 1032}]"
حسب النص، وعي من الذي تم التلاعب به؟,وعي المجتمع.,"[{'text': 'وازاي اتلعب بال الوعي الاجتماعي لناس كتيره .', 'start_char': 1122, 'end_char': 1166}]"
من أي جانب هيشرح المتحدث فكرة التعود على المآسي؟,من جانب الخبره بتاعتي اعلاميا,"[{'text': 'من جانب الخبره بتاعتي اعلاميا', 'start_char': 774, 'end_char': 802}]"
إزاي منع الأدينوسين بيسبب الشعور بالسعادة؟,بيحسن أداء الدوبامين,"[{'text': 'في دراسه اتعملت في 2015 بتقول ان الدوبامين بيشتغل بصوره افضل في حال انه ارتبط بالكافيين ، وده بيحصل لما بيتم منع مستقبلات الادينوسين من العمل في الدماغ .', 'start_char': 1876, 'end_char': 2015}, {'text': 'الدوبامين ماده منبهه طبيعيه بيتم انتاجها في دماغ الانسان ، واللي البعض بيعتبره ماده كيميائيه ممتعه لان الدوبامين هو اللي بيحفز الدماغ على الشعور بالنشاط والسعاده .', 'start_char': 2017, 'end_char': 2191}]"
ما هي العلاقة بين بنية الكافيين الكيميائية والأدينوسين؟,بنيتهما الكيميائية متشابهة,"[{'text': 'الكافين بيشبه في البنيه الكيميائيه بتاعته ماده بتتكون في الدماغ اسمها الادينوسين .', 'start_char': 1146, 'end_char': 1235}]"
ما هو التأثير الذي يحدثه الكافيين على تدفق الدم للمخ؟,بيقلل من تدفق الدم للمخ بحوالي 27 %,"[{'text': 'الكافيين بيقلل من تدفق الدم للمخ بحوالي 27 %', 'start_char': 2419, 'end_char': 2465}]"
بناءً على النص، إيه السبب المحتمل للصداع اللي بيعالجه الكافيين؟,تضخم الأوعية الدموية بالدماغ.,"[{'text': 'بيعتبر الكافيين احد المكونات الرئيسيه لمعظم ادويه الصداع والصداع النصفي', 'start_char': 2169, 'end_char': 2244}, {'text': 'واللي بدوره بيقلل من عمليه تضخم الاوعيه الدمويه في الدماغ', 'start_char': 2326, 'end_char': 2383}]"
,,
بماذا يُعتبر الكافيين على مستوى العالم حسب النص؟,الماده ذات التاثير النفسي الاكثر استخداماً في العالم كله,"[{'text': 'وعلشان كده يعتبر الكافيين هو الماده ذات التاثير النفسي الاكثر استخداماً في العالم كله .', 'start_char': 496, 'end_char': 576}]"
ما هما الناقلان العصبيان اللذان يتأثران عند تثبيط الأدينوسين بفعل الكافيين؟,الأدرينالين والدوبامين.,"[{'text': 'الجسم بيبدا يفرز ادرينالين يحل محل الادينوسين', 'start_char': 1416, 'end_char': 1461}, {'text': 'الدوبامين بيشتغل بصوره افضل في حال انه ارتبط بالكافيين ، وده بيحصل لما بيتم منع مستقبلات الادينوسين من العمل في الدماغ', 'start_char': 1895, 'end_char': 2013}]"
,,
إيه اللي بيحصل لمستقبلات الأدينوسين عند اللي بيستهلكوا الكافيين بكثرة؟,مستقبلات الادينوسين في الدماغ بتزيد عندهم,"[{'text': 'مستقبلات الادينوسين في الدماغ بتزيد عندهم', 'start_char': 1739, 'end_char': 1779}]"
إيه ممكن يحصل لو مستهلك كافيين منتظم وقّف فجأة؟,الشعور بالنعاس الشديد,"[{'text': 'والماده دي هي اللي بتخلي الانسان يشعر بالنعاس وما بتقلش في الجسم غير لما الانسان ينام .', 'start_char': 1109, 'end_char': 1184}, {'text': 'ومن الجدير بالذكر ان الناس اللي بيستخدموا الكافيين بصوره كبيره ، مستقبلات الادينوسين في الدماغ بتزيد عندهم', 'start_char': 1600, 'end_char': 1701}]"
,,
ما هو متوسط استهلاك الكافيين اليومي على مستوى العالم؟,من 110 مل غرام لي 300 مل غرام,"[{'text': 'متوسط استهلاكه على مستوى العالم من 110 مل غرام لي 300 مل غرام', 'start_char': 893, 'end_char': 951}]"
إيه اللي بيحصل لفاعلية الكافيين مع الاستخدام المستمر؟,فاعليتها بتقل,"[{'text': 'بيخلي مدمنين القهوه عايزين منها كميات اكبر دائماً علشان بس يحصلوا على نفس التاثير اللي ممكن فنجان قهوه صغير يعمله في واحد مش بيشرب القهوه كتير', 'start_char': 1791, 'end_char': 1933}]"
ما هي طبيعة تأثير الكافيين على وظائف المخ حسب النص؟,تأثيره مُغيِّر مؤقت.,"[{'text': 'بالاضافه لكونه واحد من المواد اللي بتعمل تغيير مؤقت في وظائف المخ', 'start_char': 675, 'end_char': 738}]"
كم تبلغ نسبة الكافيين في كوب القهوة العادي المنتشر؟,حوالي 95 مل غرام,"[{'text': 'وكوبايه القهوه العاديه المنتشره اليومين دول نسبه الكافيين فيها حوالي 95 مل غرام', 'start_char': 954, 'end_char': 1032}]"
إيه الرسالة الضمنية اللي بيقدمها المتحدث عن السفر؟,تحدي الصور النمطية.,"[{'text': 'لو قلت لك شيكاغو ، اول حاجه هتيجي في دماغك هي الجرايم والاسلحه والمخدرات والعصابات الشهيره زي عصابه الكابون المعروفه باسم مافيا شيكاغو .', 'start_char': 66, 'end_char': 189}, {'text': 'هسيبكم تحكموا بعد ما نخلص جولتنا في شيكاغو اللي هنعرف من خلالها حكايه البلد مع ناطحات السحاب بالتفصيل', 'start_char': 201, 'end_char': 296}]"
,,
ما هو اسم أغلى شارع في شيكاغو الذي يبيع الماركات العالمية الفاخرة؟,جولد كوست,"[{'text': 'اغلى شوارع المدينه اسمه جولد كوست', 'start_char': 324, 'end_char': 351}]"
ما الذي يميز هوية شيكاغو المعمارية حسب النص؟,الريادة في بناء ناطحات السحاب,"[{'text': 'طبعا شيكاغو كلها ناطحات سحاب', 'start_char': 2204, 'end_char': 2231}, {'text': 'لان اول نطيحه سحاب في العالم طلعت من شيكاغو هنا', 'start_char': 2245, 'end_char': 2288}]"
ما هو الانطباع الذي كوّنه المتحدث عن شعب شيكاغو والذي يتناقض مع السمعة الشائعة للمدينة؟,شعبها رايق ومتعاون.,"[{'text': 'لو قلت لك شيكاغو ، اول حاجه هتيجي في دماغك هي الجرايم والاسلحه والمخدرات والعصابات الشهيره', 'start_char': 49, 'end_char': 154}, {'text': 'خدت بالي ان الشعب هناك رايق جدا ، الناس جميله في الشارع ، الناس بجد متعاونه وبتساعد .', 'start_char': 418, 'end_char': 498}]"
ما هو الترتيب الاقتصادي لمدينة شيكاغو على مستوى أمريكا؟,ثالث اكبر اقتصاد في امريكا كلها,"[{'text': 'ثالث اكبر اقتصاد في امريكا كلها', 'start_char': 241, 'end_char': 273}]"
كيف يختلف انطباع المتحدث عن سكان شيكاغو عن سمعتها؟,وجد الناس رايقين ومتعاونين,"[{'text': 'لو قلت لك شيكاغو ، اول حاجه هتيجي في دماغك هي الجرايم والاسلحه والمخدرات والعصابات الشهيره زي عصابه الكابون المعروفه باسم مافيا شيكاغو .', 'start_char': 35, 'end_char': 177}, {'text': 'خدت بالي ان الشعب هناك رايق جدا ، الناس جميله في الشارع ، الناس بجد متعاونه وبتساعد .', 'start_char': 494, 'end_char': 585}]"
إيه السمة اللي بتميز رحلات المتحدث حول العالم؟,المغامرة.,"[{'text': 'مسافر مغامر مصري', 'start_char': 683, 'end_char': 700}]"
"ما هي المادة المصنوع منها معلم ""كلاود جيت"" السياحي؟",سيلفر ستانلس ستيل,"[{'text': 'سيلفر ستانلس ستيل', 'start_char': 1162, 'end_char': 1179}]"
بماذا يواجه المتحدث الصورة النمطية لشيكاغو؟,بإنجازها المعماري.,"[{'text': 'لو قلت لك شيكاغو ، اول حاجه هتيجي في دماغك هي الجرايم والاسلحه والمخدرات والعصابات الشهيره زي عصابه الكابون المعروفه باسم مافيا شيكاغو .', 'start_char': 53, 'end_char': 192}, {'text': 'اول نطحه سحاب في العالم طلعت من شيكاغو هنا .', 'start_char': 341, 'end_char': 391}]"
إلى أي بلد ينتمي المتحدث الذي يستكشف ثقافات العالم؟,مصر,"[{'text': 'فانا شريف نبيل مسافر مغامر مصري بتاع اكشن نجوب العالم نحكي قصص الناس وثقافات الناس', 'start_char': 668, 'end_char': 752}]"
ما هو الوقت الذي اقترحه المتحدث لزيارة كلاود جيت لتكون فارغة؟,سبعة الصبح,"[{'text': 'سبعة الصبح', 'start_char': 1735, 'end_char': 1744}]"
إزاي الطابع المعماري لشيكاغو أثر على خطة المتحدث؟,قرر يزور ناطحة سحاب,"[{'text': 'طبعا شيكاغو كلها ناطحات سحاب', 'start_char': 2008, 'end_char': 2037}, {'text': 'وعشان كده المكان اللي هنروحوا دلوقتي هو واحد من اهم الاماكن في شيكاغو عشان نشوف شيكاغو كله من فوق من ناطحه سحاب منهم', 'start_char': 2146, 'end_char': 2272}]"
كيف وصف المتحدث تنظيم شوارع ومباني شيكاغو؟,منظمة بشكل غير عادي.,"[{'text': 'المباني فيها ونظامها والشوارع بتاعتها نظام غير عادي', 'start_char': 1451, 'end_char': 1503}]"
ما هي حشوة ساندوتش الكرواسان الذي تناوله المتحدث في وجبة الإفطار؟,التونه والزبيب وعليها شيدر من فوق سايحه,"[{'text': 'التونه والزبيب وعليها شيدر من فوق سايحه', 'start_char': 1076, 'end_char': 1109}]"
توقيت عمل سوق الخضار بيوحي بإيه عن روتين سكان هانوي؟,بيشتروا حاجاتهم بالليل.,"[{'text': 'عرفنا ان هو بيجهزوا دلوقتي السوق للاجواء بالليل', 'start_char': 1127, 'end_char': 1175}, {'text': 'دايما حاجات الخضار بتبقى بالنهار بدري ، فمش عارف ليه ده غريب شويه وشغال بالليل يعني', 'start_char': 1932, 'end_char': 2014}]"
ماذا استنتج المتحدث عن بعض الفواكه من طريقة عرضها للبيع؟,رخصها.,"[{'text': 'دراجون فروت مرميه في الارض . متخيلين دي بتتحط عندنا بتتحط جوه التلاجه ، مقفول عليها وحاطين سعر مثلا ايه 1000 جنيه او 70 الف درهم حاجه كده', 'start_char': 999, 'end_char': 1099}, {'text': 'في ايه يا جماعه مرميه في الارض الجاك فروت مرميه في الارض .', 'start_char': 1100, 'end_char': 1124}]"
أين يقع السوق الأول الذي زاره المتحدث بالنسبة للمدينة؟,نص ساعه بره المدينه,"[{'text': 'نص ساعه بره المدينه', 'start_char': 323, 'end_char': 342}]"
ليه المتحدث استغرب من توقيت عمل سوق الخضار؟,لأنه يعمل مساءً فقط.,"[{'text': 'دايما حاجات الخضار بتبقى بالنهار بدري ، فمش عارف ليه ده غريب شويه وشغال بالليل يعني ، سالت حد قال زي ما سمعتو يعني ، قال ان هو شغال بالليل', 'start_char': 1452, 'end_char': 1568}]"
,,
بماذا يُعرف سوق القطار أيضًا في هانوي؟,ترين ستريت,"[{'text': 'ماركت القطر الترين ماركت او الترين ستريت ، هنا بيسموه ترين ستريت', 'start_char': 1475, 'end_char': 1539}]"
إيه الفرق بين أنواع المانجا في السوق المحلي والمناطق السياحية؟,تنوع أصناف المانجا.,"[{'text': 'دايما في المانجا الصفرا الطويله ، دي بيقطعوها للناس للسياح في الشارع', 'start_char': 417, 'end_char': 483}, {'text': 'لكن في هنا انواع مانجا كتير ما شفتهاش جوه نهائي', 'start_char': 485, 'end_char': 531}]"
كيف وصف المتحدث حالة الطقس في هانوي؟,الجو رطب.,"[{'text': 'الجو بقى الرطوبه عاليه', 'start_char': 1716, 'end_char': 1736}, {'text': 'جد والله الرطوبه رهيبه', 'start_char': 1802, 'end_char': 1823}]"
ما هي وسيلة المواصلات التي طلبها المتحدث للذهاب إلى الترين ستريت؟,سكوتر,"[{'text': 'طلبنا سكوتر يجي ياخدنا', 'start_char': 1640, 'end_char': 1661}]"
إزاي حالة السوق الأول كانت عكس المعتاد لأسواق الخضار؟,شغال بالليل بدل الصبح,"[{'text': 'دايما حاجات الخضار بتبقى بالنهار بدري ، فمش عارف ليه ده غريب شويه وشغال بالليل يعني', 'start_char': 1610, 'end_char': 1683}, {'text': 'سالت حد قال زي ما سمعتو يعني ، قال ان هو شغال بالليل', 'start_char': 1686, 'end_char': 1735}]"
كيف وصف المتحدث حالة الفاكهة والخضار في السوق الأول؟,طزاجتها.,"[{'text': 'الفاكهه طازه والخضار شكله طازه ، ورايق وخطير بصراحه يعني .', 'start_char': 533, 'end_char': 595}]"
إيه هو أحلى يوم بيحبه المتحدث في رحلاته لآسيا؟,يوم الماركتز,"[{'text': 'يوم الماركتز', 'start_char': 64, 'end_char': 75}]"
إزاي طبيعة عمل السوق الأول أثرت على خطة جولة المتحدث؟,ذهب لسوق آخر مؤقتاً,"[{'text': 'احنا عرفنا ان هو بيجهزوا دلوقتي السوق للاجواء بالليل', 'start_char': 421, 'end_char': 476}, {'text': 'فاحنا هنروح نشوف سوق تاني ، ونرجع له بالليل', 'start_char': 479, 'end_char': 520}]"
ما الذي ميز السوق الأول الذي زاره المتحدث؟,طابعه المحلي.,"[{'text': 'دي بقى بتاعه الناس السكان المحليين مش الناس السياح', 'start_char': 232, 'end_char': 281}]"
كم بلغ سعر فاكهة الجاك فروت في السوق؟,بدولار واحد,"[{'text': 'بدولار واحد', 'start_char': 718, 'end_char': 728}]"
إيه في الجو ممكن يفسر مواعيد السوق الغريبة؟,الرطوبة العالية,"[{'text': 'الجو بقى الرطوبة عاليه ، بتوقف دقيقتين بتلاقي بقى ايه جسمك كله ميه وعرق', 'start_char': 1353, 'end_char': 1424}, {'text': 'دايما حاجات الخضار بتبقى بالنهار بدري ، فمش عارف ليه ده غريب شويه وشغال بالليل يعني', 'start_char': 1509, 'end_char': 1591}]"
إيه الصفة اللي لاحظها المتحدث في الخضار والفاكهة بالسوق؟,طزاجتهم,"[{'text': 'الفاكهه طازه والخضار شكله طازه ، ورايق وخطير بصراحه يعني', 'start_char': 487, 'end_char': 543}]"
"على أي أساس اتسمى الشارع اللي فيه سوق القطر باسم ""ترين ستريت""؟",عشان بيبقى الشارع القطورة رايحه جايه فيه,"[{'text': 'عشان بيبقى الشارع القطورة رايحه جايه فيه', 'start_char': 1172, 'end_char': 1211}]"
إيه اللي خلى مواعيد السوق الأول غريبة للمتحدث؟,مواعيده عكس المعتاد,"[{'text': 'دايما حاجات الخضار بتبقى بالنهار بدري', 'start_char': 1565, 'end_char': 1602}, {'text': 'قال ان هو شغال بالليل', 'start_char': 1629, 'end_char': 1648}]"
ما الذي ميّز أنواع المانجو في السوق الأول عن تلك المخصصة للسياح في العاصمة؟,تنوعها وعدم انتشارها,"[{'text': 'احنا دايما جوه في في في هانوي نفسها في العاصمه ، دايما في المانجا الصفرا الطويله ، دي بيقطعوها للناس للسياح في الشارع ، لكن في هنا انواع مانجا كتير ما شفتهاش جوه نهائي', 'start_char': 372, 'end_char': 532}, {'text': 'دي بقى بتاعه الناس السكان المحليين مش الناس السياح', 'start_char': 181, 'end_char': 226}]"
السوق الأول اللي زاره المتحدث كان على بعد قد إيه من المدينة؟,نص ساعه بره المدينه,"[{'text': 'وخرجنا يمكن نص ساعه بره المدينه', 'start_char': 250, 'end_char': 281}]"
ليه قرر المتحدث يرجع للسوق الأول في وقت تاني؟,لأنه يعمل مساءً,"[{'text': 'فاحنا هنروح نشوف سوق تاني ، ونرجع له بالليل', 'start_char': 1215, 'end_char': 1255}, {'text': 'سالت حد قال زي ما سمعتو يعني ، قال ان هو شغال بالليل', 'start_char': 1967, 'end_char': 2021}]"
ما هي طبيعة السوق الأول الذي زاره المتحدث من حيث زواره؟,سوق محلي,"[{'text': 'دي بقى بتاعه الناس السكان المحليين مش الناس السياح', 'start_char': 181, 'end_char': 226}, {'text': 'احنا بعدنا بعيد تماما عن السياحه وعن المدينه', 'start_char': 229, 'end_char': 270}]"
إيه هو اليوم المفضل للمتحدث في رحلاته لآسيا؟,يوم الماركتز,"[{'text': 'ده احلى يوم بحبه في رحلات اسيا ، يوم الماركتز', 'start_char': 0, 'end_char': 45}]"
مواعيد السوق في هانوي بتشير لإيه عن روتين سكانها اليومي؟,إنه مسائي أكتر,"[{'text': 'عرفنا ان هو بيجهزوا دلوقتي السوق للاجواء بالليل', 'start_char': 1003, 'end_char': 1046}, {'text': 'دايما حاجات الخضار بتبقى بالنهار بدري ، فمش عارف ليه ده غريب شويه وشغال بالليل يعني', 'start_char': 1756, 'end_char': 1844}]"
ما الذي كان يفعله البائعون في السوق الأول عند وصول المتحدث؟,تجهيز السوق,"[{'text': 'بس حاسس ان ايه ، ان مافيش حياه اوي يعني حاسس ان الناس معظمها قفل ، شويه', 'start_char': 669, 'end_char': 742}, {'text': 'عرفنا ان هو بيجهزوا دلوقتي السوق للاجواء بالليل', 'start_char': 1003, 'end_char': 1046}]"
ما هو سعر فاكهة الجاك فروت المذكور في النص؟,بدولار واحد,"[{'text': 'بدولار واحد', 'start_char': 587, 'end_char': 597}]"
إيه اللي خلى المتحدث يروح سوق القطر قبل ما يرجع للسوق الأول؟,السوق الأول بيشتغل بالليل,"[{'text': 'فاحنا هنروح نشوف سوق تاني ، ونرجع له بالليل', 'start_char': 1215, 'end_char': 1254}, {'text': 'سالت حد قال زي ما سمعتو يعني ، قال ان هو شغال بالليل', 'start_char': 2052, 'end_char': 2107}]"
كيف كان انطباع المتحدث عن السوق الأول عند وصوله؟,أنه غير حيوي,"[{'text': 'بس حاسس ان ايه ، ان مافيش حياه اوي يعني حاسس ان الناس معظمها قفل ، شويه', 'start_char': 669, 'end_char': 742}]"
إيه وسيلة المواصلات اللي طلبها المتحدث عشان يروح الترين ستريت؟,سكوتر,"[{'text': 'طيب طلبنا سكوتر يجي ياخدنا', 'start_char': 1272, 'end_char': 1296}]"
إيه اللي بيوضحه استغراب المتحدث عن أسواق الخضار في بلده؟,إنها تعمل صباحاً,"[{'text': 'دايما حاجات الخضار بتبقى بالنهار بدري ، فمش عارف ليه ده غريب شويه وشغال بالليل يعني', 'start_char': 1876, 'end_char': 1963}, {'text': 'سالت حد قال زي ما سمعتو يعني ، قال ان هو شغال بالليل', 'start_char': 1966, 'end_char': 2014}]"
لماذا قرر المتحدث مغادرة السوق الأول والعودة إليه لاحقًا؟,لأنه يعمل ليلاً,"[{'text': 'بس حاسس ان ايه ، ان مافيش حياه اوي يعني حاسس ان الناس معظمها قفل', 'start_char': 703, 'end_char': 768}, {'text': 'احنا عرفنا ان هو بيجهزوا دلوقتي السوق للاجواء بالليل', 'start_char': 907, 'end_char': 961}]"
كيف وصف المتحدث حالة الجو في هانوي؟,الجو بقى الرطوبه عاليه,"[{'text': 'الجو بقى الرطوبه عاليه', 'start_char': 1686, 'end_char': 1707}]"
ليه المتحدث قرر يرجع للسوق الأولاني بعدين؟,لأنه بيشتغل بالليل.,"[{'text': 'احنا عرفنا ان هو بيجهزوا دلوقتي السوق للاجواء بالليل ، فاحنا هنروح نشوف سوق تاني ، ونرجع له بالليل', 'start_char': 1121, 'end_char': 1220}, {'text': 'سالت حد قال زي ما سمعتو يعني ، قال ان هو شغال بالليل', 'start_char': 1868, 'end_char': 1914}]"
"ما هو سبب تسمية ""شارع القطار"" بهذا الاسم؟",لمرور القطارات فيه.,"[{'text': 'عشان بيبقى الشارع القطورة رايحه جايه فيه', 'start_char': 1445, 'end_char': 1484}]"
كم تبعد المسافة بين المدينة والسوق الأول الذي زاره المتحدث؟,نص ساعه بره المدينه,"[{'text': 'نص ساعه بره المدينه', 'start_char': 241, 'end_char': 261}]"
إزاي اكتشاف مواعيد السوق الأول غيّر خطة المتحدث؟,هيزور سوق تاني ويرجعله,"[{'text': 'عرفنا ان هو بيجهزوا دلوقتي السوق للاجواء بالليل', 'start_char': 433, 'end_char': 476}, {'text': 'فاحنا هنروح نشوف سوق تاني ، ونرجع له بالليل', 'start_char': 480, 'end_char': 521}]"
ما مدى شعبية سوق القطار الذي ذكره المتحدث؟,عالمية,"[{'text': 'والناس بتجي بقى مخصوص من كل مكان في العالم عشان تحضر الماركت ده', 'start_char': 1316, 'end_char': 1381}]"
إيه نوع المانجا المنتشر في العاصمة هانوي؟,المانجا الصفرا الطويله,"[{'text': 'المانجا الصفرا الطويله', 'start_char': 443, 'end_char': 464}]"
وفقًا لوصف المتحدث للطقس، ما ميزة عمل السوق ليلًا؟,تجنب الرطوبة العالية,"[{'text': 'احنا عرفنا ان هو بيجهزوا دلوقتي السوق للاجواء بالليل', 'start_char': 1020, 'end_char': 1072}, {'text': 'الجو بقى الرطوبه عاليه ، بتوقف دقيقتين بتلاقي بقى ايه جسمك كله ميه وعرق', 'start_char': 1541, 'end_char': 1622}]"
ما طبيعة زيارة المتحدث لأسواق فيتنام؟,سياحية,"[{'text': 'دي بقى بتاعه الناس السكان المحليين مش الناس السياح', 'start_char': 196, 'end_char': 240}, {'text': 'احنا بعدنا بعيد تماما عن السياحه وعن المدينه', 'start_char': 242, 'end_char': 287}]"
ما هو الانطباع الأول للمتحدث عن الفاكهة والخضار بالسوق؟,الفاكهه طازه والخضار شكله طازه ، ورايق وخطير بصراحه يعني,"[{'text': 'الفاكهه طازه والخضار شكله طازه ، ورايق وخطير بصراحه يعني', 'start_char': 532, 'end_char': 591}]"
إيه الفرق الجوهري بين رواد السوق الأول وسوق القطار؟,الأول للمحليين والتاني للسياح,"[{'text': 'دي بقى بتاعه الناس السكان المحليين مش الناس السياح', 'start_char': 191, 'end_char': 238}, {'text': 'والناس بتجي بقى مخصوص من كل مكان في العالم عشان تحضر الماركت ده', 'start_char': 1205, 'end_char': 1271}]"
كيف يختلف سعر بعض الفواكه في فيتنام عن بلد المتحدث؟,أرخص بكثير.,"[{'text': 'دراجون فروت مرميه في الارض .', 'start_char': 831, 'end_char': 858}, {'text': 'متخيلين دي بتتحط عندنا بتتحط جوه التلاجه ، مقفول عليها وحاطين سعر مثلا ايه 1000 جنيه او 70 الف درهم', 'start_char': 859, 'end_char': 956}]"
كم كان سعر فاكهة الجاك فروت في السوق؟,بدولار واحد,"[{'text': 'اه دي بقى الجاك فروت ، جاك فروت اوكي ، بدولار واحد', 'start_char': 605, 'end_char': 651}]"
